score,params,iterations
0.9979232486671215,"{'eta': 0.46721805598925914, 'lambda': 0.09510100434212998, 'alpha': 0.17309968933620054, 'gamma': 11.608830146061887, 'max_depth': 13, 'subsample': 0.5565887710699626, 'colsample_bytree': 0.8306399829150326, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9100921662931908}",0
0.9975797614302792,"{'eta': 0.5353011858790837, 'lambda': 0.08590247957473386, 'alpha': 0.11184785153206056, 'gamma': 16.842274124262254, 'max_depth': 3, 'subsample': 0.5394009867174396, 'colsample_bytree': 0.6535209141485203, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.170080120194173}",1
0.9982996229852954,"{'eta': 0.31605949347191387, 'lambda': 0.09694255183142421, 'alpha': 0.02159387712901554, 'gamma': 1.6049708091073134, 'max_depth': 12, 'subsample': 0.5103080611550932, 'colsample_bytree': 0.7946623381866889, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.1647289085842247}",2
0.9981341553082406,"{'eta': 0.5050890198506515, 'lambda': 0.11413376408237855, 'alpha': 0.0729453255234462, 'gamma': 7.484836435024656, 'max_depth': 14, 'subsample': 0.956987346730277, 'colsample_bytree': 0.7439214005032133, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.184559517358275}",3
0.997712470232959,"{'eta': 0.22713880799369127, 'lambda': 0.03158958843768944, 'alpha': 0.17958790304904987, 'gamma': 19.161013955302348, 'max_depth': 6, 'subsample': 0.7479296351048776, 'colsample_bytree': 0.6046693122880571, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.1843740390067647}",4
0.948106661220858,"{'eta': 0.014377685275696345, 'lambda': 0.19713154094182897, 'alpha': 0.12746137995817514, 'gamma': 11.497139413510439, 'max_depth': 3, 'subsample': 0.5630079308069124, 'colsample_bytree': 0.6709595534483007, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.0711293674787703}",5
0.9976739322797169,"{'eta': 0.5876359851768919, 'lambda': 0.1430305438284229, 'alpha': 0.08571033058815619, 'gamma': 14.346388992479422, 'max_depth': 8, 'subsample': 0.6688569090431655, 'colsample_bytree': 0.9625588536241385, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9021346900265345}",6
0.9981517784093213,"{'eta': 0.42859131728059396, 'lambda': 0.15114391850039036, 'alpha': 0.15461606106114673, 'gamma': 6.7275816192194, 'max_depth': 12, 'subsample': 0.9078997217149334, 'colsample_bytree': 0.8949637361095867, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.8746461354605012}",7
0.997757453365146,"{'eta': 0.13901551602624945, 'lambda': 0.16860488243230556, 'alpha': 0.18097209514543747, 'gamma': 19.36145411430014, 'max_depth': 8, 'subsample': 0.5692324047116023, 'colsample_bytree': 0.5911002104493683, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.0998485353339336}",8
0.9983803877726078,"{'eta': 0.04131566091904619, 'lambda': 0.029794942328538132, 'alpha': 0.18783734752716336, 'gamma': 5.691572322576461, 'max_depth': 9, 'subsample': 0.6413823967087824, 'colsample_bytree': 0.7820523330574423, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.8399492321451564}",9
0.9979936816798572,"{'eta': 0.1909355124054783, 'lambda': 0.171062981923408, 'alpha': 0.1693389649448252, 'gamma': 7.6222204508665055, 'max_depth': 4, 'subsample': 0.6932617108322446, 'colsample_bytree': 0.916989189615519, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.8845013723413507}",10
0.9978798050283915,"{'eta': 0.5550400506657293, 'lambda': 0.15519979887509408, 'alpha': 0.13109689233970692, 'gamma': 15.000738035082158, 'max_depth': 12, 'subsample': 0.983770663961813, 'colsample_bytree': 0.5409810447435839, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.1578517372561334}",11
0.9979976252674362,"{'eta': 0.4440602914862089, 'lambda': 0.09458856256409628, 'alpha': 0.14130753756818648, 'gamma': 9.228620687123623, 'max_depth': 10, 'subsample': 0.8372301154234638, 'colsample_bytree': 0.6794980413196886, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.102879426815035}",12
0.9980975540487028,"{'eta': 0.2740325734679292, 'lambda': 0.07168642891425238, 'alpha': 0.055984596569259956, 'gamma': 14.136211207112554, 'max_depth': 13, 'subsample': 0.9173434027913162, 'colsample_bytree': 0.8004323603286236, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.0130795296059547}",13
